USERID,NAME,DEPARTMENT,EMAIL,CUSTOMERID,ADMINID
U852,Drew Smith,Engineering,drew.smith852@aol.com,44538,U852
U889,Casey Lee,Sales,casey.lee889@21cn.com,33222,U889
U651,Jordan Clark,Engineering,jordan.clark651@21cn.com,33222,U889
U708,Jordan Nguyen,Engineering,jordan.nguyen708@apple.sib.ru,28333,U708
U248,Casey Lee,Marketing,casey.lee248@007addict.com,93888,U248
U626,Morgan Nguyen,Marketing,morgan.nguyen626@10mail.org,55533,U626
U361,Taylor Brown,Sales,taylor.brown361@4email.com,76338,U361
U681,Taylor Martinez,Finance,taylor.martinez681@10mail.org,29335,U681
U788,Jordan Martinez,Finance,jordan.martinez788@10minutemail.com,33663,U909
U909,Alex Martinez,Support,alex.martinez909@10minutemail.com,33663,U909
U977,Alex Lee,Support,alex.lee977@10minutemail.com,33663,U909
U920,Taylor Nguyen,Marketing,taylor.nguyen920@123.com,38822,U108
U108,Jordan Smith,Engineering,jordan.smith108@123.com,38822,U108
U323,Jamie Martinez,HR,jamie.martinez323@0-mail.com,18226,U323
U229,Drew Smith,Support,drew.smith229@10mail.org,99402,U229
U601,Jordan Brown,Sales,jordan.brown601@007addict.com,11627,U601
U135,Drew Nguyen,Engineering,drew.nguyen135@bk.ru,33667,U135
U228,Riley Clark,Engineering,riley.clark228@007addict.com,82772,U228
U930,Alex Nguyen,Marketing,alex.nguyen930@139.com,23561,U930
U399,Morgan Martinez,Support,morgan.martinez399@139.com,23561,U930
U714,Riley Martinez,HR,riley.martinez714@007addict.com,87232,U714
U124,Drew Clark,Sales,drew.clark124@33mail.com,91658,U124
U258,Casey Nguyen,Marketing,casey.nguyen258@10mail.org,69521,U258
U532,Alex Smith,Marketing,alex.smith532@88.am,25080,U879
U879,Morgan Smith,Sales,morgan.smith879@88.am,25080,U879
U581,Casey Smith,HR,casey.smith581@21cn.com,92423,U581
U562,Riley Johnson,Sales,riley.johnson562@21cn.com,92423,U581
U641,Alex Clark,Finance,alex.clark641@gmail.com,27395,U641
U672,Jordan Smith,HR,jordan.smith672@gmail.com,27395,U641
U467,Morgan Garcia,Marketing,morgan.garcia467@armyspy.com,65777,U467
U825,Alex Johnson,HR,alex.johnson825@armyspy.com,65777,U467
U702,Casey Lee,HR,casey.lee702@armyspy.com,65777,U467
